Table,Column,Type,Nullable,Primary Key,Foreign Keys
categories,id,INTEGER,False,True,
categories,name,VARCHAR,False,False,
categories,description,TEXT,True,False,
content_blocks,key,VARCHAR,False,True,
content_blocks,content,TEXT,False,False,
content_blocks,updated_at,DATETIME,True,False,
events,id,INTEGER,False,True,
events,name,VARCHAR,False,False,
events,overlay_title,VARCHAR,True,False,
events,iso_date,DATE,False,False,
events,start_time,TIME,False,False,
events,end_time,TIME,False,False,
events,location,VARCHAR,False,False,
events,image_url,VARCHAR,True,False,
events,rating,"NUMERIC(2, 1)",True,False,
events,type,VARCHAR,True,False,
events,is_featured,BOOLEAN,True,False,
events,is_active,BOOLEAN,True,False,
events,carousel_order,INTEGER,True,False,
events,created_at,DATETIME,True,False,
orders,order_id,VARCHAR,False,True,
orders,user_id,VARCHAR,False,False,
orders,event_id,INTEGER,False,False,
orders,iso_date,DATE,False,False,
orders,purchase_time,TIME,True,False,
orders,total,"NUMERIC(10, 2)",False,False,
orders,status,VARCHAR(17),True,False,
orders,qr_code_data,TEXT,True,False,
orders,created_at,DATETIME,True,False,
site_configuration,section_key,VARCHAR(50),False,True,
site_configuration,content_json,JSON,False,False,
site_configuration,updated_at,DATETIME,True,False,
users,id,VARCHAR,False,True,
users,name,VARCHAR,False,False,
users,email,VARCHAR,False,False,
users,password,VARCHAR,True,False,
users,has_priority_access,BOOLEAN,True,False,
users,role,VARCHAR(8),True,False,
users,phone,VARCHAR,True,False,
users,dob,DATE,True,False,
users,gender,VARCHAR(4),True,False,
users,created_at,DATETIME,True,False,
menus,id,INTEGER,False,True,
menus,name,VARCHAR,False,False,
menus,event_id,INTEGER,True,False,events.id
menus,created_at,DATETIME,True,False,
order_items,id,INTEGER,False,True,
order_items,order_id,VARCHAR,False,False,orders.order_id
order_items,product_id,INTEGER,False,False,
order_items,product_name,VARCHAR,False,False,
order_items,quantity,INTEGER,False,False,
order_items,claimed,INTEGER,True,False,
order_items,price_at_purchase,"NUMERIC(10, 2)",False,False,
products,id,INTEGER,False,True,
products,category_id,INTEGER,False,False,categories.id
products,name,VARCHAR,False,False,
products,description,TEXT,True,False,
products,image_url,VARCHAR,True,False,
products,price,"NUMERIC(10, 2)",True,False,
contests,id,INTEGER,False,True,
contests,title,VARCHAR(255),False,False,
contests,brand,VARCHAR(255),True,False,
contests,description,TEXT,True,False,
contests,prize_text,VARCHAR(255),True,False,
contests,end_date,VARCHAR(50),True,False,
contests,image_url,VARCHAR(2048),True,False,
contests,active,BOOLEAN,True,False,
contests,action_type,VARCHAR(50),True,False,
contests,action_url,VARCHAR(2048),True,False,
contests,linked_product_id,INTEGER,True,False,products.id
menu_products,id,INTEGER,False,True,
menu_products,menu_id,INTEGER,False,False,menus.id
menu_products,product_id,INTEGER,False,False,products.id
menu_products,price,"NUMERIC(10, 2)",True,False,
menu_products,display_order,INTEGER,True,False,
menu_products,active,BOOLEAN,True,False,
promotions,id,INTEGER,False,True,
promotions,title,VARCHAR(255),False,False,
promotions,description,TEXT,True,False,
promotions,discount_text,VARCHAR(100),True,False,
promotions,style_variant,VARCHAR(50),True,False,
promotions,icon_name,VARCHAR(50),True,False,
promotions,image_url,VARCHAR(2048),True,False,
promotions,active,BOOLEAN,True,False,
promotions,action_type,VARCHAR(50),True,False,
promotions,linked_product_id,INTEGER,True,False,products.id
